match_id,player,player_deaths_per_min,player_assists_per_min,player_tower_damage,player_xp_per_min,player_gold_per_min,player_kills_per_min,player_roshans_killed,player_obs_placed,opponent,opponent_deaths_per_min,opponent_assists_per_min,opponent_tower_damage,opponent_xp_per_min,opponent_gold_per_min,opponent_kills_per_min,opponent_roshans_killed,opponent_obs_placed,winner,player_tower_damage_per_min,opponent_tower_damage_per_min,player_hero_damage_per_min,opponent_hero_damage_per_min,player_last_hits_per_min,opponent_last_hits_per_min,player_win_ratio,opponent_win_ratio
6881381906,148673797,0.21295066250039146,0.3714026224944947,0,525.45,344.8,0.14095446654314164,0,0,392047872,0.13756285359161843,0.3027848183756425,0,680.9,471.8,0.18943221234368843,0,0,148673797,80.66026525206246,112.09434318452517,439.7755562893556,602.9734395858488,2.0921135920557186,4.943554381351341,0.4943906731192257,0.5128410914927769
6881386311,231479571,0.1843829321354002,0.4216294550094498,0,676.15,464.75,0.23177940243902717,0,0,126530483,0.1548489412646319,0.3260565869368713,0,643.95,475.45,0.21881792596832703,0,0,231479571,37.52941802141159,109.21656801598769,693.6494067989038,650.5818911332633,3.3024478469340957,4.615034006029584,0.5789080029917726,0.49654989384288745
6881388213,188867337,0,0,0,607.8,431.1,0.21078356471156545,0,0,109224758,0,0.4705527368125334,0,1015.25,772.55,0.28228927680704835,0,0,109224758,59.60513594691513,108.74271663163836,597.4651526221289,802.6085865440991,3.885733896290497,4.119756217073631,0.5131683958499601,0.49932304359599244
6881389406,901056484,0,0,0,0,0,0,0,0,105875187,0,0,0,0,0,0.27562690239648624,0,0,901056484,0,0,657.8211992758517,860.1501020567257,2.9120269066918234,5.32798204840345,0.5206611570247934,0.4938738738738739
6881396714,366395238,0.17584374106851075,0.42742059960495615,0,1312.35,939.15,0.3179045725477861,0,0,276180652,0.1976020032189975,0.42193410191178843,0,744.25,507.35,0.20660398381191264,0,0,366395238,168.91030778004944,31.045939294017934,810.5268517511837,662.9728043462903,6.115197033479794,3.1337740061184998,0.4994692144373673,0.5496828752642706
6881397015,136508403,0,0,0,0,0,0,0,0,100950273,0,0,0,0,0,0.12239364427106356,0,0,100950273,0,0,697.4194822610598,429.17124225819754,4.918164730839257,1.2351199848649284,0.5073385518590998,0.5018117931261666
6881397114,198218101,0.23639172407939402,0.41900800417022543,0,635.75,430.6,0.18792939850118548,0,0,104682310,0.22104827863015805,0.4228679155653535,0,1147.0,713.4,0.1810732789493032,0,0,198218101,34.06415079441854,106.38524681901177,598.1899194659115,699.3256677338833,3.5776681378342756,2.7621133626110534,0.5113473139902327,0.5229193341869398
6881397313,168818011,0,0,0,0,0,0,0,0,180107506,0,0,0,0,0,0.3091892748616434,0,0,180107506,0,0,697.9260847074472,964.8873480630464,3.227427982541432,6.074222439420023,0.5,0.48405877460493485
6881397719,366822603,0.1629678516991704,0.4452238726538907,0,1147.6,774.8,0.2838895923806074,0,0,300972029,0.30410619730169575,0.5447142017543241,0,751.1,514.6,0.09530594063504846,0,0,366822603,174.62350151651552,8.18334286234104,948.2118338426217,689.3364762499209,5.079030765592111,1.2042962067276024,0.5294117647058824,0.5587899543378996
6881398403,103723262,0,0,0,0,487.89473684210526,0.1951920872185204,0,0,346502681,0,0,0,0,506.35,0.20251552793511904,0,0,103723262,0,0,571.1683590299609,608.6616678276916,3.881861979599396,5.257279972497107,0.4962270930650377,0.5213903743315508
